# 从 Anki 牌组转换：大学英语四级单词(词典重制完美版).apkg
# 格式：单词|释义|例句|例句翻译
obviously|[ˈɒbviəsli] adv. 显然地|He was obviously drunk.|他显然是醉了。
occasion|[əˈkeɪʒn] n. 场合；时机 vt. 引起；致使|I only wear a tie on special occasions.|我只在特殊场合才打领带。
occasional|[əˈkeɪʒənl] adj. 偶然的；临时的|He's someone I have an occasional chat and joke with.|我偶然跟他闲聊，一起说笑话。
occasionally|[əˈkeɪʒnəli] adv. 偶尔地|They enjoy a night out occasionally.|他们偶尔出去玩上一个晚上。
occupation|[ˌɒkjuˈpeɪʃn] n. 职业；占有|I haven't entered your name and occupation yet.|我尚未记下你的名字和职业。
occupy|[ˈɒkjupaɪ] vt. 占用；占领|Is that seat occupied?|那个座位有人吗？
occur|[əˈkɜː(r)] vi. 发生；存在|That plane crash occurred only minutes after take-off.|空难在起飞几分钟后就发生了。
occurrence|[əˈkʌrəns] n. 发生；事件|Unfortunately, computer errors are a common occurrence.|不幸的是,计算机错误常常发生。
Oceania|[ˌəʊsiˈɑːniə] n. 大洋洲|Oceania is the smallest continent.|大洋洲是最小的洲。
October|[ɒkˈtəʊbə(r)] n. 十月|His book is due to be published in October.|他的书预定十月份出版。
odd|[ɒd] adj. 奇数的；古怪的|1,3, 5 and 7 are odd numbers.|1,3, 5 和 7 是奇数。
odour|[ˈəʊdə(r)] n. 气味（尤指不好闻的） =odor(美)|There is no odour of religion about the book.|这本书没有宗教气味。
of|[əv] prep. 关于；... 的（表所属）|This is a photograph of my dog.|这是一张我的狗的照片。
offend|[əˈfend] vt. 冒犯；犯罪 vi. 违反；令人不适|I didn't mean to offend you.|我不是故意冒犯你。
offer|[ˈɒfə(r)] vt. 提供；提出 vi. 提议；出现 n. 提议；出价|We offer a free backup service to customers.|对顾客我们提供免费配套服务。
office|[ˈɒfɪs] n. 办公室；职务|He keeps his office neat and tidy.|他保持办公室清洁整齐。
officer|[ˈɒfɪsə(r)] n. 官员；高级职员|That officer must be removed.|那位官员必须免职。
official|[əˈfɪʃl] adj. 正式的；官方的 n. 官员|The group have split off from the official union.|这一部分人已从正式的联盟中分裂出来了。
oil|[ɔɪl] n. 油；油画颜料 v. 涂油；溶化|The country is rich in oil and coal.|这个国家石油和煤的资源丰富。
okay|[ˌəʊˈkeɪ] adv. 好的；可以 adj. 好的 n. 同意 vt. 同意|Okay Squirrel, you can play with us.|你可以和我们一起玩儿。
omit|[əˈmɪt] vt. 省略；遗漏|In writing telegrams omit superfluous words.|写电报稿要省去不必要的文字。
on|[ɒn] prep. 在 ... 之上；由 ... 支撑着 adv. 穿着；向前（移动) adj. 表示已连接、处于工作状态或使用…|The book is on the table.|书在桌子上。
once|[wʌns] adv. 一次；曾经 conj. 一旦 n. 一次 adj. 曾经的|Once or twice she looked over her shoulder at me.|有一两次她回头看看我。
onion|[ˈʌnjən] n. 洋葱|I don't like the flavor of onion.|我不喜欢洋葱的味道。
onto|[ˈɒntə] prep. 到 ... 上|He grafted the branch onto the apple tree.|他将这根树枝嫁接到了苹果树上。
open|[ˈəʊpən] adj. 开着的；开放的 v. 打开；张开 n. 户外；公开|The fresh air blew in from the open window.|新鲜空气从开着的窗户吹进来。
opera|[ˈɒpərə] n. 歌剧 n. 挪威Opera软件公司的浏览器软件|Have you heard the opera sung in French?|你听过用法语唱的这场歌剧吗？
operate|[ˈɒpəreɪt] v. 操作；运转|It's too difficult for him to operate this new sophisticated machine.|对他来说,操作这台复杂的机器太难了。
operation|[ˌɒpəˈreɪʃn] n. 操作；运转|The operation of this machine is simple.|这个机器的操作很简单。
operator|[ˈɒpəreɪtə(r)] n. 操作员；技工|I am a computer operator.|我是一名计算机操作人员。
opinion|[əˈpɪnjən] n. 意见；主张|I can't agree with your opinion in this respect.|在这方面,我不赞同你的意见。
opponent|[əˈpəʊnənt] n. 对手；反对者 adj. 反对的；敌对的|He was assailed by his political opponent.|他遭到政敌的攻击。
oppose|[əˈpəʊz] v. 反对；对抗|It was courageous of him to oppose his chief.|他敢反对他的上司，真是勇敢。
opposite|[ˈɒpəzɪt] adj. 相反的；对面的 prep. 在 ... 对面；演对手戏 adv. 在对面地；处于相反位置地 n. 对立物；对立…|She hurried away in the opposite direction.|她朝着相反的方向匆匆离去了。
oppress|[əˈpres] v. 使烦恼；压迫|Cares oppressed his spirits.|忧虑使他心情抑郁。
optical|[ˈɒptɪkl] adj. 视觉的；光学的|The optical system of the eye stimulate cell of the retina.|眼睛的视觉系统刺激视网膜内的细胞。
optimistic|[ˌɒptɪˈmɪstɪk] adj. 乐观的；乐观主义的|The book ended on an optimistic note.|该书的结尾寓意乐观。
option|[ˈɒpʃn] n. 选择权；可选物 v. 得到或获准进行选择|He had no option but to agree.|他除了同意外别无选择。
optional|[ˈɒpʃənl] adj. 任选的|The insurance cover is optional.|保险范围可以随意选择。
or|[ɔː(r)] conj. 或者；还是 prep. 在...之前|You can send letters by mail or by hand.|你可以邮寄或者派人送信件。
oral|[ˈɔːrəl] adj. 口头的；口部的 n. 口试|The old man told us a story passed on by oral tradition.|老人给我们讲述了一个口头流传的故事。
orange|[ˈɒrɪndʒ] n. 橙子，橘子；橙黄色 adj. 橙色的|Would you peel me an orange?|你给我剥一个橘子好吗？
orbit|[ˈɔːbɪt] n. 势力范围；眼眶 vt. 绕轨道而行；进入轨道 vi. 盘旋|Hou Kou district fell into Japanese orbit before the outbreak of the second sino-Japan war.|虹口区在抗日战争爆发前就已落入日本人手中。
orchestra|[ˈɔːkɪstrə] n. 管弦乐队|The orchestra tuned their instruments.|乐队在给乐器调音。
order|[ˈɔːdə(r)] n. 顺序；条理 v. 命令；定购|Today we'll reverse the usual order of the lesson.|今天我们将把通常的上课顺序倒过来。
orderly|[ˈɔːdəli] adj. 有秩序的；整齐的 n. 勤务兵；（医院的）勤务工|This event disrupted the orderly process.|这个事件使有秩序的进程陷入了混乱。
ordinary|[ˈɔːdnri] adj. 平凡的；普通的|I just want an ordinary car without the frills.|我只要一辆没有多余装饰的普通汽车。
ore|[ɔː(r)] n. 矿石；矿|We will make an assay of the ore that he brought.|我们将对他带来的矿石做实验鉴定。
organ|[ˈɔːɡən] n. 器官；风琴|The heart is a vital organ.|心脏是维持生命必须的器官。
organic|[ɔːˈɡænɪk] adj. 器官的；有机的 n. 有机物质|The illness is organic in origin.|该病起初是器质性疾患。
organism|[ˈɔːɡənɪzəm] n. 有机体；生物体|Germs may invade the organism.|细菌会侵入有机体。
oriental|[ˌɔːriˈentl] adj. 东方的；东方人的 n. 东方人|He specializes in oriental history.|他专门研究东方史。
origin|[ˈɒrɪdʒɪn] n. 起源；出身|The social unrest has its origins in economic problems.|社会动荡是经济问题引起的。
original|[əˈrɪdʒənl] adj. 原始的；最初的 n. 原版；真品 n. 起源|Our original plan was to go to Spain, but it was too expensive.|我们的原始计划是去西班牙,但是去那里太贵了。
ornament|[ˈɔːnəmənt] n. 装饰；装饰物 vt. 装饰|The palace was rich in ornament.|宫廷装饰琳琅满目。
orphan|[ˈɔːfn] n. 孤儿 adj. 孤儿的 vt. 成孤儿|The orphan was consigned to her uncle's care.|那孤儿托给她叔父照料。
otherwise|[ˈʌðəwaɪz] adv. 否则；不同地 adj. 不同的|Seize the chance, otherwise you'll regret it.|抓住这个机会，否则你会后悔的。
ought|[ɔːt] aux. 应该；应当 n. 零|I don't think you ought to.|我看你不应该。
ounce|[aʊns] n. 盎司|An ounce of action is worth a ton of theory.|一盎司的行动就能值一吨的理论。
our|[ˈaʊə(r) ] adj. 我们的|He enrolled our names.|他把我们的名字登记下来了。
ours|[ɑːz] pron. 我们的|Your house is much bigger than ours.|你们的房子比我们的大多了。
ourselves|[ɑːˈselvz] pron. 我们自己|We have a bathroom to ourselves.|我们自己有一间浴室，不必和人共用。
out|[aʊt] adv. 出；在外 prep. 向外；在外面 v. 出来；暴露|His book came out last month.|他的书上个月出版了。
outcome|[ˈaʊtkʌm] n. 结果；后果|What was the outcome of your meeting?|你们会晤的结果如何?
outdoors|[ˌaʊtˈdɔːz] adv. 在户外地；在野外 n. 户外；野外 名词outdoor的复数形式.|There is intolerable noise outdoors.|门外是难以忍受的嘈杂声。
outer|[ˈaʊtə(r)] adj. 外部的；外面的|This is compensated for an outer impressiveness.|这一点由外部的感人情景得到了补偿。
outlet|[ˈaʊtlet] n. 出路；出口|He needs an outlet for all that pent up anger.|他那积愤需要有机会倾吐.
outline|[ˈaʊtlaɪn] n. 大纲；轮廓 vt. 概述；画出轮廓|He wrote down the outline of his lecture.|他写下演讲的提纲。
outlook|[ˈaʊtlʊk] n. 景色；前景|The house has a pleasant outlook over the valley.|从这所房子可以看到山谷景色优美。
output|[ˈaʊtpʊt] n. 产量；输出功率 vt. 输出(信息等)|Output has tripled.|产量已增加到三倍。
outset|[ˈaʊtset] n. 开始；开端|At the outset, it looked like a nice day.|开始的时候，天看上去很晴朗。
outside|[ˌaʊtˈsaɪd] adv. 在外面 n. 外面 adj. 外部的 prep. 在 ... 外边|The house is painted green outside.|那房子外面漆的绿色。
outskirt|[ˈaʊtˌskɜːt] n. 郊区（常用复数）|A shantytown on the outskirts of a city, especially in France or North Africa.|市郊贫民区一个城市周边的棚户区，尤指在法国或北非一带
outstanding|[aʊtˈstændɪŋ] adj. 优秀的；突出的|He was an outstanding student.|他是个优秀的学生。
outward|[ˈaʊtwəd] adj. 向外的；表面的 adv. 向外；在外|A detonation projects an instantaneous pulse of pressure outward in all directions.|爆炸的瞬间会朝各个方向发出向外的压力波。
outwards|[ˈaʊtwədz] adv. 向外；在外|The door opened outwards.|这门是朝外开的。
oven|[ˈʌvn] n. 烤箱；烤炉|The bread is baking in the oven.|烤箱里正在烤面包。
over|[ˈəʊvə(r)] prep. 在 ... 的上方；遍及地 adv. 穿过；完全覆盖 n. (板球中)每个投球手一次连续所投出的球数|The lamp hung over the table.|那盏灯悬挂在桌子上方。
overall|[ˌəʊvərˈɔːl] adj. 全部的；总体的 adv. 总的来说；总共 n. 罩衫；工作服|The overall measurement of this room is 80 square meters.|这个屋子的总面积是80平方米。
overcoat|[ˈəʊvəkəʊt] n. 外套；大衣|He turned his overcoat collar up.|他把外套的衣领翻了起来。
overcome|[ˌəʊvəˈkʌm] vt. 战胜；克服 vi. 获胜；赢|I realized that there is no way I can overcome it.|我意识到自己没有办法战胜它。
overhead|[ˌəʊvəˈhed] n. 经常开支；普通用费 adj. 高架的；在头上的 adv. 在头顶上；在空中|Their office is in central Beijing, so their overhead is very high.|他们的办事处设在北京市中心，所以他们的日常开支很大。
overlook|[ˌəʊvəˈlʊk] v. 俯瞰；远眺 n. 忽视；远眺|My room overlooked the garden.|我的房间俯瞰花园。
overnight|[ˌəʊvəˈnaɪt] adv. 在夜里；过夜 adj. 整晚的；很快的|The wind had strengthened overnight.|夜里，风更大了。
overseas|[ˌəʊvəˈsiːz] adj. 海外的 adv. 在海外|The overseas trade has become the main project.|海外贸易成为主要的项目。
overtake|[ˌəʊvəˈteɪk] v. 赶上；突然来袭|The car pulled out to overtake the lorry.|小汽车开出车道去超那辆卡车。
overtime|[ˈəʊvətaɪm] n. 加班时间(加班加点费)；(比赛)延长时间 adv. 在规定时间之外(超出时间地)|We did a deal with the management on overtime.|在加班问题上我们与管理部门达成一项协议。
owe|[əʊ] vt. 欠（债；钱|I gotta get back there, I owe it to them.|我要回到那,我欠他们的。
owl|[aʊl] n. 猫头鹰|The owl swooped down on the mouse.|那只猫头鹰向着老鼠猛扑下来。
own|[əʊn] adj. 自己的；特有的 n. 自己的东西 v. 承认；拥有|But I can't hold on to my own principles, either.|但是,我也没有能够坚持自己的主张。
owner|[ˈəʊnə(r)] n. 所有人；物主|The property revert to its original owner in1998.|财产于1998年将归还原所有人。
ownership|[ˈəʊnəʃɪp] n. 所有权|She disclaimed ownership of the vehicle.|她放弃了这辆车的所有权。
ox|[ɒks] n. 牛；公牛|An ox pulls a wagon into the village.|有只牛拉着一台四轮车进入村庄。
pace|[peɪs] n. 速度；步伐 v. 踱步；(用步)测 prep. 用在人名前(礼貌的表达不同意见)|She works so fast that I can't keep pace with her.|她工作得很快，我跟不上她的速度。
pacific|[pəˈsɪfɪk] adj. 温和的；和平的 n. 太平洋 adj. 太平洋的|The night was pacific.|黑夜静悄悄的。
pack|[pæk] n. 一群；一副 v. 包装；解雇|The hare could find no safety, a pack of jackals had it in the wind.|野兔无处逃生,一群豺狗在追踪它。
package|[ˈpækɪdʒ] n. 包裹；整批交易 vt. 把 ... 打包；把 ... 进行推销|The postman brought me a large package.|邮递员给我送来一个大包裹。
packet|[ˈpækɪt] n. 小袋；邮船|The Government has clapped an extra ten pence on a packet of cigarettes.|政府对每包香烟额外提价十便士。
pad|[pæd] n. 便签纸；衬垫 n. 低沉声音；缓慢行走的马 v. 填塞；夸大 v. 轻轻走|She always kept a pad and pencil by the phone.|她总在电话机旁准备一本便签簿和一支铅笔。
pail|[peɪl] n. 桶；一桶之量|She poured some water into the pail.|她把一些水倒进提桶里。
painful|[ˈpeɪnfl] adj. 痛苦的；疼痛的|It was painful for him to renounce his son.|宣布与儿子脱离关系对他来说是很痛苦的。
paint|[peɪnt] v. 油漆；绘画 n. 油漆；颜料|I personally think we should paint the wall yellow.|我个人认为墙壁应该粉刷成黄色。
painter|[ˈpeɪntə(r)] n. 画家；油漆匠|He is an amateur painter.|他是一个业余画家。
